gender,topic,count,percentage
male,1,11,10.576923076923077
male,2,17,16.346153846153847
male,3,10,9.615384615384617
male,4,16,15.384615384615385
male,5,10,9.615384615384617
male,6,26,25.0
male,7,2,1.9230769230769231
male,8,12,11.538461538461538
female,1,11,10.576923076923077
female,2,8,7.6923076923076925
female,3,11,10.576923076923077
female,4,14,13.461538461538462
female,5,10,9.615384615384617
female,6,26,25.0
female,7,12,11.538461538461538
female,8,12,11.538461538461538
child,1,17,16.346153846153847
child,2,9,8.653846153846153
child,3,10,9.615384615384617
child,4,14,13.461538461538462
child,5,8,7.6923076923076925
child,6,26,25.0
child,7,10,9.615384615384617
child,8,10,9.615384615384617
