gender,word,count
male,lego,34
male,set,29
male,art,25
male,engineer,23
male,play,22
male,car,22
male,science,22
male,mathematic,22
male,language,20
male,build,19
male,draw,19
male,skateboard,18
male,remote,18
male,control,18
male,toy,17
male,block,16
male,drone,16
male,software,16
male,game,14
male,technic,14
female,art,44
female,set,29
female,lego,26
female,play,23
female,language,23
female,mathematic,23
female,draw,21
female,science,21
female,painting,17
female,kit,17
female,block,16
female,reading,16
female,software,15
female,engineer,15
female,building,14
female,skateboard,13
female,supply,13
female,teacher,13
female,game,12
female,design,12
child,lego,34
child,play,27
child,set,27
child,draw,24
child,build,22
child,art,20
child,mathematic,20
child,language,19
child,block,18
child,kit,18
child,science,18
child,painting,15
child,game,15
child,teacher,13
child,building,12
child,skateboard,12
child,car,11
child,reading,11
child,board,11
child,remote,11
