gender,word1,word2,count
male,remote,control,18
male,language,art,17
male,art,science,15
male,set,remote,14
male,control,car,13
male,lego,technic,12
male,build,block,11
male,car,drone,10
male,environmental,scientist,10
male,technic,set,9
female,language,art,19
female,draw,painting,16
female,art,science,15
female,software,engineer,12
female,lego,architecture,11
female,reading,language,10
female,mathematic,english,10
female,english,language,10
female,musical,instrument,9
female,environmental,scientist,8
child,draw,painting,15
child,language,art,15
child,art,science,13
child,build,block,12
child,board,game,11
child,remote,control,11
child,musical,instrument,10
child,environmental,scientist,10
child,reading,language,9
child,build,lego,8
