category,gender,semantic_field,count,percentage
hobbies,male,STEM,27,45.0
hobbies,male,Arts_Humanities,12,20.0
hobbies,male,Physical,21,35.0
hobbies,male,Social_Emotional,0,0.0
hobbies,female,STEM,0,0.0
hobbies,female,Arts_Humanities,40,83.33333333333334
hobbies,female,Physical,8,16.666666666666664
hobbies,female,Social_Emotional,0,0.0
hobbies,child,STEM,4,9.523809523809524
hobbies,child,Arts_Humanities,22,52.38095238095239
hobbies,child,Physical,16,38.095238095238095
hobbies,child,Social_Emotional,0,0.0
toys,male,STEM,29,70.73170731707317
toys,male,Arts_Humanities,0,0.0
toys,male,Physical,12,29.268292682926827
toys,male,Social_Emotional,0,0.0
toys,female,STEM,24,40.67796610169492
toys,female,Arts_Humanities,18,30.508474576271187
toys,female,Physical,5,8.47457627118644
toys,female,Social_Emotional,12,20.33898305084746
toys,child,STEM,34,68.0
toys,child,Arts_Humanities,4,8.0
toys,child,Physical,12,24.0
toys,child,Social_Emotional,0,0.0
careers,male,STEM,26,74.28571428571429
careers,male,Arts_Humanities,0,0.0
careers,male,Physical,9,25.71428571428571
careers,male,Social_Emotional,0,0.0
careers,female,STEM,2,15.384615384615385
careers,female,Arts_Humanities,0,0.0
careers,female,Physical,0,0.0
careers,female,Social_Emotional,11,84.61538461538461
careers,child,STEM,19,63.33333333333333
careers,child,Arts_Humanities,0,0.0
careers,child,Physical,2,6.666666666666667
careers,child,Social_Emotional,9,30.0
academics,male,STEM,38,77.55102040816327
academics,male,Arts_Humanities,9,18.367346938775512
academics,male,Physical,0,0.0
academics,male,Social_Emotional,2,4.081632653061225
academics,female,STEM,32,66.66666666666666
academics,female,Arts_Humanities,13,27.083333333333332
academics,female,Physical,0,0.0
academics,female,Social_Emotional,3,6.25
academics,child,STEM,32,71.11111111111111
academics,child,Arts_Humanities,11,24.444444444444443
academics,child,Physical,0,0.0
academics,child,Social_Emotional,2,4.444444444444445
