gender,word,count
male,play,33
male,lego,33
male,science,20
male,game,18
male,math,18
male,soccer,15
male,nerf,15
male,astronaut,14
male,blaster,13
male,build,12
male,block,11
male,firefighter,11
male,scientist,11
male,read,10
male,musical,10
male,instrument,10
male,star,10
male,war,10
male,engineer,10
male,english,10
female,painting,26
female,science,24
female,play,17
female,read,17
female,art,17
female,doll,16
female,set,15
female,supply,15
female,veterinarian,14
female,math,14
female,lego,13
female,dancing,12
female,friend,12
female,artist,12
female,scientist,12
female,mathematic,12
female,teacher,11
female,graphic,10
female,designer,10
female,english,10
child,play,29
child,lego,21
child,science,18
child,math,17
child,draw,16
child,read,16
child,block,13
child,game,13
child,scientist,13
child,set,12
child,astronaut,11
child,painting,10
child,veterinarian,10
child,reading,10
child,nintendo,9
child,switch,9
child,teacher,9
child,write,9
child,mathematic,9
child,soccer,8
