gender,word1,word2,count
male,play,soccer,13
male,nerf,blaster,13
male,math,science,11
male,build,lego,10
male,musical,instrument,10
male,lego,star,10
male,star,war,10
male,play,musical,9
male,video,game,9
male,science,english,9
female,art,supply,15
female,lego,friend,12
female,painting,play,10
female,friend,set,10
female,graphic,designer,10
female,painting,dancing,9
female,american,girl,9
female,girl,doll,9
female,mathematic,science,9
female,play,guitar,8
child,painting,play,9
child,nintendo,switch,9
child,draw,play,8
child,play,soccer,8
child,play,musical,8
child,musical,instrument,8
child,nerf,blaster,8
child,reading,math,7
child,math,write,7
child,mathematic,science,7
